id,date,type,status,counterparty_type,supplier,shipment,item,reason_code,closed_date,amount_filed,amount_paid,days_open
275,2024-08-20,warranty,resolved,supplier,5,275,9,temperature_excursion,2024-09-30,697.64,18.0,23.85
276,2026-05-19,warranty,approved,customer,5,276,6,temperature_excursion,2026-06-09,3129.57,2628.84,21.3
277,2024-10-11,insurance,resolved,carrier,4,277,10,short_ship,2024-11-02,1498.75,25.33,26.35
278,2025-10-30,damage,resolved,customer,10,278,6,spec_fail,2025-12-08,1362.24,662.05,14.24
279,2025-05-13,warranty,denied,supplier,2,279,1,spec_fail,2025-05-31,3666.07,0.0,17.29
280,2026-03-10,chargeback,denied,customer,2,280,5,short_ship,2026-04-01,3779.97,0.0,27.42
281,2026-06-30,warranty,resolved,supplier,8,281,8,late_delivery,2026-07-06,418.6,310.85,15.81
282,2025-11-12,chargeback,open,customer,7,282,1,temperature_excursion,,2947.82,0.0,10.51
283,2025-04-23,damage,resolved,customer,5,283,3,concealed_damage,2025-05-30,286.63,216.46,25.75
284,2026-06-19,chargeback,resolved,carrier,14,284,9,late_delivery,2026-07-28,317.4,71.54,24.2
285,2025-12-15,warranty,resolved,supplier,12,285,7,spec_fail,2025-12-21,109.88,69.5,25.42
286,2025-09-27,warranty,open,customer,5,286,9,late_delivery,,392.94,0.0,6.16
287,2026-07-21,warranty,approved,supplier,13,287,14,spec_fail,2026-08-18,518.04,97.44,24.06
288,2025-08-27,damage,approved,carrier,4,288,7,spec_fail,2025-09-05,2721.86,300.22,14.06
289,2025-07-18,damage,approved,carrier,3,289,9,spec_fail,2025-09-01,2814.5,2296.07,11.16
290,2025-01-16,shortage,denied,carrier,12,290,9,late_delivery,2025-02-04,321.04,0.0,16.4
291,2025-11-09,insurance,open,supplier,7,291,6,temperature_excursion,,3196.72,0.0,29.7
292,2025-02-13,shortage,approved,carrier,13,292,4,late_delivery,2025-03-28,2778.56,2265.63,5.89
293,2025-05-23,damage,denied,carrier,10,293,11,spec_fail,2025-06-03,2334.7,0.0,18.92
294,2024-09-04,damage,denied,customer,2,294,2,spec_fail,2024-09-08,1709.34,0.0,12.12
295,2024-09-26,warranty,approved,customer,6,295,2,late_delivery,2024-10-07,3272.92,1267.6,4.82
296,2026-01-29,deduction,approved,carrier,5,296,6,concealed_damage,2026-03-07,1601.17,1580.52,21.6
297,2024-08-19,chargeback,open,customer,7,297,2,temperature_excursion,,2003.29,0.0,25.24
298,2025-11-19,deduction,open,customer,5,298,8,short_ship,,528.77,0.0,23.8
299,2024-08-22,insurance,resolved,customer,4,299,6,spec_fail,2024-09-06,554.81,454.61,5.7
300,2024-11-19,deduction,resolved,supplier,6,300,12,concealed_damage,2024-11-21,3861.29,408.91,25.45
301,2025-10-03,shortage,approved,customer,9,301,7,spec_fail,2025-10-12,2625.38,600.43,10.51
302,2024-12-05,chargeback,open,supplier,6,302,7,short_ship,,136.74,0.0,23.58
303,2026-03-21,warranty,approved,carrier,13,303,7,short_ship,2026-04-03,3013.96,729.98,5.29
304,2024-11-21,warranty,resolved,supplier,13,304,6,short_ship,2025-01-04,45.27,30.99,14.55
305,2025-06-20,damage,denied,supplier,9,305,1,temperature_excursion,2025-06-30,2360.34,0.0,14.67
306,2024-10-09,warranty,resolved,customer,6,306,1,short_ship,2024-11-03,3337.94,2236.42,26.72
307,2025-05-30,warranty,open,carrier,6,307,1,temperature_excursion,,863.63,0.0,4.51
308,2024-11-06,damage,approved,supplier,14,308,13,short_ship,2024-11-22,3877.92,3133.36,25.8
309,2025-12-19,damage,approved,supplier,9,309,3,temperature_excursion,2025-12-20,3413.19,3395.1,20.36
310,2025-11-25,insurance,resolved,customer,5,310,9,late_delivery,2025-12-23,1390.71,478.96,8.78
311,2025-06-01,damage,open,supplier,10,311,8,concealed_damage,,33.35,0.0,29.26
312,2025-07-12,chargeback,open,supplier,13,312,1,late_delivery,,3729.63,0.0,7.11
313,2025-08-16,insurance,denied,carrier,3,313,9,late_delivery,2025-08-26,1667.23,0.0,20.66
314,2025-06-16,shortage,approved,carrier,5,314,12,temperature_excursion,2025-06-17,3757.67,778.21,6.7
315,2024-12-05,damage,open,customer,4,315,9,late_delivery,,409.02,0.0,4.87
316,2024-10-06,damage,denied,carrier,12,316,9,temperature_excursion,2024-10-07,3187.92,0.0,27.81
317,2024-09-17,insurance,approved,customer,14,317,13,temperature_excursion,2024-09-30,2683.9,1772.72,26.57
318,2025-06-17,chargeback,approved,customer,13,318,9,short_ship,2025-07-21,2991.57,2093.2,20.87
319,2026-02-06,warranty,resolved,customer,3,319,6,spec_fail,2026-02-16,435.12,226.26,16.77
320,2024-11-26,warranty,open,carrier,7,320,1,spec_fail,,1818.19,0.0,1.9
321,2026-03-16,deduction,denied,customer,13,321,12,concealed_damage,2026-04-28,2283.25,0.0,6.44
322,2024-11-14,chargeback,approved,carrier,8,322,11,concealed_damage,2024-12-25,1986.78,1763.07,16.22
323,2024-09-15,damage,approved,carrier,13,323,9,late_delivery,2024-10-09,2279.42,565.07,5.88
324,2024-10-06,warranty,open,supplier,3,324,8,concealed_damage,,566.46,0.0,18.39
325,2024-10-09,warranty,approved,carrier,10,325,9,short_ship,2024-11-12,196.11,41.57,29.31
326,2025-06-09,chargeback,open,carrier,6,326,2,temperature_excursion,,637.67,0.0,19.67
327,2026-02-05,deduction,denied,supplier,8,327,5,spec_fail,2026-02-23,2153.2,0.0,6.1
328,2025-05-06,insurance,denied,carrier,7,328,4,temperature_excursion,2025-06-20,1792.6,0.0,14.52
329,2025-04-06,deduction,resolved,supplier,5,329,14,concealed_damage,2025-05-15,2516.94,441.22,21.25
330,2024-08-28,insurance,resolved,customer,12,330,9,short_ship,2024-09-26,2991.54,2285.54,24.04
331,2026-06-03,warranty,open,customer,12,331,11,late_delivery,,3070.11,0.0,4.51
332,2025-01-27,deduction,open,carrier,4,332,12,spec_fail,,2269.01,0.0,9.54
333,2025-11-19,warranty,resolved,supplier,2,333,3,late_delivery,2025-11-22,1896.49,133.51,29.73
334,2025-05-13,deduction,open,customer,3,334,4,concealed_damage,,1061.44,0.0,8.19
335,2025-05-14,deduction,resolved,customer,3,335,9,spec_fail,2025-05-17,1490.46,1192.21,5.61
336,2024-10-16,deduction,denied,supplier,1,336,7,spec_fail,2024-11-30,3378.6,0.0,13.74
337,2026-06-15,deduction,denied,carrier,6,337,8,spec_fail,2026-07-18,1082.53,0.0,15.74
338,2025-06-23,damage,resolved,carrier,1,338,6,short_ship,2025-07-24,1079.16,738.04,11.13
339,2024-09-06,insurance,open,customer,3,339,5,spec_fail,,1910.67,0.0,17.75
340,2025-08-21,deduction,approved,customer,4,340,4,concealed_damage,2025-10-02,1342.81,1246.66,29.03
341,2026-03-06,deduction,resolved,customer,2,341,13,short_ship,2026-03-25,1171.4,136.23,23.8
342,2025-09-26,shortage,approved,carrier,11,342,5,late_delivery,2025-11-09,1269.55,927.66,20.44
343,2025-01-07,warranty,denied,supplier,13,343,2,concealed_damage,2025-01-21,1244.77,0.0,8.93
344,2026-06-06,deduction,resolved,supplier,3,344,2,short_ship,2026-07-06,1714.93,552.89,4.65
345,2026-02-20,warranty,denied,customer,6,345,13,late_delivery,2026-03-03,915.14,0.0,16.8
346,2025-02-23,insurance,resolved,carrier,7,346,2,late_delivery,2025-03-03,2336.01,2288.12,19.96
347,2025-08-08,insurance,resolved,supplier,6,347,9,concealed_damage,2025-09-15,2970.62,1069.72,25.9
348,2024-08-27,damage,approved,carrier,10,348,10,concealed_damage,2024-09-04,3068.62,1123.73,17.25
349,2025-12-29,damage,open,customer,6,349,1,spec_fail,,2311.73,0.0,27.78
350,2025-10-18,damage,denied,customer,8,350,3,spec_fail,2025-11-22,1495.66,0.0,24.0
351,2026-01-08,warranty,denied,carrier,8,351,6,short_ship,2026-02-14,1777.04,0.0,26.42
352,2025-07-01,shortage,resolved,customer,9,352,4,temperature_excursion,2025-07-09,3008.38,1963.87,16.88
353,2025-04-03,damage,resolved,carrier,1,353,6,short_ship,2025-05-11,1897.4,977.54,15.76
354,2025-04-16,shortage,resolved,customer,5,354,12,spec_fail,2025-04-18,3700.6,983.99,19.7
355,2026-01-26,damage,resolved,supplier,3,355,11,short_ship,2026-02-12,2279.46,257.58,4.73
356,2024-12-09,shortage,approved,customer,2,356,8,late_delivery,2024-12-14,1317.7,630.78,6.66
357,2024-08-14,shortage,approved,carrier,2,357,3,late_delivery,2024-08-24,1045.81,201.42,17.75
358,2024-11-13,damage,resolved,carrier,7,358,13,concealed_damage,2024-12-14,798.36,143.31,18.16
359,2025-09-26,chargeback,approved,carrier,9,359,8,temperature_excursion,2025-10-27,634.69,8.51,13.07
360,2024-12-18,damage,approved,supplier,5,360,12,temperature_excursion,2025-02-01,1234.36,936.88,29.56
361,2024-11-28,chargeback,open,supplier,4,361,4,temperature_excursion,,3181.03,0.0,9.09
362,2025-12-05,insurance,approved,carrier,12,362,5,concealed_damage,2025-12-20,76.27,31.27,26.75
363,2025-06-15,shortage,open,supplier,14,363,4,temperature_excursion,,3027.03,0.0,23.74
364,2025-09-03,warranty,resolved,carrier,8,364,5,spec_fail,2025-09-04,3780.42,2293.96,13.11
365,2026-07-16,warranty,denied,customer,10,365,8,short_ship,2026-08-07,3101.24,0.0,10.87
366,2026-03-06,chargeback,resolved,customer,12,366,5,temperature_excursion,2026-03-07,1029.23,602.2,5.88
367,2025-07-26,damage,open,carrier,6,367,3,spec_fail,,1281.33,0.0,22.63
368,2026-01-21,warranty,resolved,carrier,1,368,7,spec_fail,2026-02-02,723.39,331.6,21.59
369,2025-12-10,chargeback,approved,carrier,3,369,9,spec_fail,2025-12-21,3802.62,1203.15,23.83
370,2025-11-23,shortage,approved,supplier,6,370,4,spec_fail,2025-12-24,1052.6,825.76,25.78
371,2025-07-02,damage,resolved,supplier,4,371,3,temperature_excursion,2025-07-14,3508.07,3189.18,13.17
372,2025-04-01,deduction,approved,supplier,10,372,6,temperature_excursion,2025-04-07,2674.09,2029.9,19.65
373,2025-03-12,deduction,resolved,carrier,10,373,4,late_delivery,2025-03-24,2135.85,926.96,21.0
374,2025-05-09,damage,open,customer,13,374,10,temperature_excursion,,3132.49,0.0,20.43
375,2026-04-01,warranty,open,supplier,1,375,5,short_ship,,2777.14,0.0,4.86
376,2026-03-20,shortage,resolved,supplier,2,376,5,late_delivery,2026-04-07,824.37,595.53,6.71
377,2025-01-12,deduction,denied,carrier,7,377,1,late_delivery,2025-01-24,3544.94,0.0,3.76
378,2025-09-23,warranty,resolved,customer,11,378,6,late_delivery,2025-10-22,2411.59,1885.86,9.98
379,2026-03-04,deduction,approved,carrier,12,379,10,late_delivery,2026-03-18,2211.2,918.09,26.96
380,2024-10-11,chargeback,open,supplier,3,380,12,concealed_damage,,229.78,0.0,11.12
381,2025-07-28,shortage,open,supplier,7,381,4,short_ship,,279.31,0.0,11.9
382,2026-04-08,shortage,resolved,customer,12,382,9,late_delivery,2026-04-13,1161.37,1025.96,11.31
383,2025-01-29,chargeback,resolved,carrier,4,383,6,short_ship,2025-02-11,2360.0,2351.03,21.83
384,2025-06-14,deduction,resolved,customer,14,384,12,late_delivery,2025-07-23,1523.8,704.61,27.04
385,2026-07-18,deduction,resolved,carrier,10,385,8,spec_fail,2026-07-26,1852.1,166.13,5.03
386,2025-05-19,deduction,denied,customer,6,386,2,spec_fail,2025-06-06,1353.53,0.0,17.95
387,2025-08-21,damage,denied,customer,10,387,12,late_delivery,2025-09-24,2664.92,0.0,12.08
388,2026-04-23,insurance,approved,supplier,9,388,2,short_ship,2026-06-02,1338.02,37.6,14.93
389,2026-03-24,damage,denied,supplier,5,389,11,temperature_excursion,2026-03-31,1650.17,0.0,20.01
390,2025-05-12,damage,approved,carrier,11,390,5,late_delivery,2025-05-29,1429.02,221.78,22.5
391,2024-10-28,damage,open,carrier,10,391,7,temperature_excursion,,3502.68,0.0,19.35
392,2025-07-08,damage,denied,carrier,10,392,8,late_delivery,2025-07-25,2682.83,0.0,23.82
393,2024-11-04,chargeback,denied,carrier,3,393,9,spec_fail,2024-12-17,3073.61,0.0,7.21
394,2024-11-23,chargeback,approved,supplier,10,394,4,concealed_damage,2024-12-07,1953.76,1386.58,4.45
395,2025-09-21,deduction,open,customer,8,395,2,temperature_excursion,,3773.41,0.0,25.93
396,2025-12-02,insurance,resolved,carrier,14,396,13,spec_fail,2025-12-06,1655.68,1043.41,1.34
397,2025-11-21,shortage,resolved,supplier,1,397,2,spec_fail,2025-12-24,3179.42,1227.57,24.44
398,2025-10-08,shortage,resolved,customer,6,398,12,short_ship,2025-10-19,1347.9,452.09,11.48
399,2026-04-07,warranty,denied,customer,14,399,11,late_delivery,2026-05-18,554.47,0.0,21.61
400,2025-10-16,shortage,resolved,supplier,10,400,12,concealed_damage,2025-11-21,1695.07,511.06,17.12
401,2025-10-12,chargeback,open,customer,6,401,5,late_delivery,,1244.52,0.0,12.76
402,2024-12-22,shortage,resolved,customer,14,402,1,concealed_damage,2024-12-26,864.74,145.71,17.65
403,2024-08-13,shortage,approved,supplier,4,403,1,temperature_excursion,2024-08-23,3449.55,945.52,9.44
404,2025-01-31,warranty,denied,customer,1,404,12,late_delivery,2025-02-01,3919.73,0.0,2.33
405,2025-01-09,deduction,denied,customer,13,405,3,late_delivery,2025-01-23,1345.32,0.0,25.06
406,2025-12-18,damage,approved,customer,12,406,3,short_ship,2026-01-04,1332.9,153.68,9.2
407,2026-03-12,insurance,open,carrier,8,407,13,short_ship,,2004.91,0.0,14.68
408,2025-02-10,warranty,approved,carrier,12,408,4,concealed_damage,2025-03-17,1035.8,352.38,10.45
409,2025-11-13,warranty,denied,customer,1,409,10,spec_fail,2025-12-22,3080.39,0.0,1.23
410,2025-06-03,insurance,approved,customer,3,410,12,spec_fail,2025-06-07,2028.95,922.16,2.14
411,2026-04-08,deduction,open,customer,3,411,7,spec_fail,,2833.83,0.0,9.11
412,2026-01-08,shortage,approved,carrier,14,412,13,spec_fail,2026-01-21,1176.28,85.63,27.77
413,2025-10-31,insurance,denied,supplier,9,413,12,spec_fail,2025-11-13,1555.1,0.0,24.86
414,2025-01-24,insurance,open,customer,8,414,3,concealed_damage,,718.52,0.0,15.34
415,2025-04-09,warranty,resolved,customer,12,415,2,temperature_excursion,2025-04-20,1571.64,690.73,6.51
416,2025-09-18,damage,denied,customer,7,416,4,late_delivery,2025-09-24,1267.14,0.0,27.15
417,2026-07-17,insurance,resolved,carrier,6,417,11,spec_fail,2026-08-21,3163.35,1491.52,12.93
418,2025-11-05,insurance,denied,supplier,1,418,12,temperature_excursion,2025-11-14,1037.69,0.0,7.02
419,2024-08-01,warranty,open,customer,8,419,10,temperature_excursion,,3635.69,0.0,12.02
420,2025-11-13,shortage,resolved,carrier,9,420,4,late_delivery,2025-11-20,2248.13,1967.79,21.12
