id,line,purchase_order,item,quantity_ordered,quantity_received,unit_cost,line_total
665,1,130,2,216,182,111.74,24135.84
666,1,383,6,295,163,70.94,20927.3
667,2,312,13,112,105,61.76,6917.12
668,2,324,5,63,45,138.47,8723.61
669,1,175,5,113,64,142.94,16152.22
670,2,38,14,238,202,105.93,25211.34
671,2,176,13,90,68,61.83,5564.7
672,1,303,8,259,213,12.86,3330.74
673,1,369,4,176,109,110.67,19477.92
674,1,178,7,242,134,43.12,10435.04
675,3,17,14,240,144,102.67,24640.8
676,1,124,4,70,42,111.71,7819.7
677,2,27,8,114,89,13.17,1501.38
678,1,338,13,286,249,63.77,18238.22
679,4,172,2,233,195,113.51,26447.83
680,3,260,4,49,28,115.02,5635.98
681,3,139,10,278,265,102.58,28517.24
682,2,285,8,132,77,12.57,1659.24
683,1,272,8,131,97,12.5,1637.5
684,3,286,14,198,127,109.83,21746.34
685,1,294,2,124,119,111.71,13852.04
686,2,200,12,90,60,116.67,10500.3
687,4,157,2,217,192,108.05,23446.85
688,3,112,11,154,118,142.49,21943.46
689,2,120,12,91,67,123.23,11213.93
690,1,194,12,130,101,119.71,15562.3
691,4,66,5,108,74,141.38,15269.04
692,3,262,4,198,121,110.7,21918.6
693,2,44,5,266,211,141.48,37633.68
694,4,186,12,170,164,118.26,20104.2
695,4,18,11,24,19,141.92,3406.08
696,4,105,1,80,63,61.8,4944.0
697,4,367,1,108,103,60.17,6498.36
698,2,318,6,212,186,70.55,14956.6
699,3,120,14,88,70,103.44,9102.72
700,1,162,12,121,66,120.82,14619.22
701,1,205,3,184,180,19.78,3639.52
702,4,305,7,70,44,41.52,2906.4
703,1,194,6,37,23,73.15,2706.55
704,2,79,4,199,157,110.86,22061.14
705,1,109,9,22,16,29.6,651.2
706,2,375,3,143,109,18.48,2642.64
707,3,154,8,286,206,13.15,3760.9
708,4,158,13,243,199,60.27,14645.61
709,3,214,6,236,163,68.13,16078.68
710,4,197,1,277,206,60.52,16764.04
711,1,229,2,68,61,106.97,7273.96
712,2,274,3,34,25,18.82,639.88
713,1,370,9,247,153,29.25,7224.75
714,1,302,7,141,124,41.09,5793.69
715,1,22,13,93,64,59.86,5566.98
716,2,394,9,163,92,28.68,4674.84
717,3,307,6,213,121,68.68,14628.84
718,3,115,5,297,233,136.63,40579.11
719,1,59,11,91,76,140.71,12804.61
720,1,169,11,62,50,138.51,8587.62
721,2,88,12,220,131,119.17,26217.4
722,2,286,11,149,112,141.38,21065.62
723,2,272,7,210,175,43.63,9162.3
724,4,338,1,226,126,62.35,14091.1
725,4,177,7,36,33,40.65,1463.4
726,2,267,13,128,78,61.43,7863.04
727,1,233,1,83,67,59.52,4940.16
728,1,330,2,116,92,106.04,12300.64
729,1,329,1,258,170,59.49,15348.42
730,4,127,9,60,58,30.46,1827.6
731,4,220,10,29,21,105.36,3055.44
732,3,347,5,195,120,140.82,27459.9
733,4,270,3,92,51,18.66,1716.72
734,4,152,9,47,45,28.73,1350.31
735,2,11,13,164,158,62.52,10253.28
736,2,291,7,147,100,41.05,6034.35
737,3,62,7,150,146,41.49,6223.5
738,3,414,9,135,134,29.19,3940.65
739,2,66,7,251,235,42.85,10755.35
740,1,358,7,232,181,43.27,10038.64
741,2,353,5,205,142,143.76,29470.8
742,3,177,5,179,118,138.28,24752.12
743,3,157,3,218,188,18.84,4107.12
744,1,189,4,103,81,115.9,11937.7
745,4,215,1,118,101,62.68,7396.24
746,2,74,5,118,73,135.89,16035.02
747,3,305,1,213,173,58.68,12498.84
748,1,283,7,92,56,43.1,3965.2
749,1,316,13,212,153,61.26,12987.12
750,4,117,9,299,233,30.7,9179.3
751,2,61,3,96,92,19.38,1860.48
752,2,136,1,292,228,60.56,17683.52
753,4,132,6,60,57,70.37,4222.2
754,1,197,10,215,182,108.5,23327.5
755,2,132,11,79,58,142.59,11264.61
756,4,131,6,51,40,70.5,3595.5
757,3,55,9,103,70,30.31,3121.93
758,4,243,7,274,244,43.74,11984.76
759,3,167,3,148,101,19.94,2951.12
760,3,218,14,167,96,106.08,17715.36
761,1,412,8,268,222,12.62,3382.16
762,2,350,9,281,279,29.82,8379.42
763,2,112,8,44,30,12.97,570.68
764,2,370,2,183,114,106.84,19551.72
765,4,171,4,166,132,109.68,18206.88
766,4,221,1,299,245,62.48,18681.52
767,4,182,2,174,144,105.66,18384.84
768,1,335,13,59,44,62.64,3695.76
769,4,98,2,248,176,110.78,27473.44
770,2,7,13,127,77,62.59,7948.93
771,4,267,2,47,45,113.09,5315.23
772,4,2,2,232,193,108.36,25139.52
773,4,318,12,66,60,124.72,8231.52
774,2,364,12,279,254,118.67,33108.93
775,1,266,6,56,53,71.76,4018.56
776,2,374,4,237,157,115.88,27463.56
777,1,269,10,273,197,104.33,28482.09
778,1,143,14,204,169,106.51,21728.04
779,2,342,4,167,94,109.88,18349.96
780,1,169,13,296,248,59.13,17502.48
781,2,343,11,172,169,140.2,24114.4
782,3,312,3,293,267,19.16,5613.88
783,2,244,11,103,93,138.53,14268.59
784,1,278,9,148,113,30.1,4454.8
785,4,314,7,144,92,42.72,6151.68
786,2,400,13,92,88,63.62,5853.04
787,1,73,12,198,167,120.16,23791.68
788,3,171,14,258,181,104.92,27069.36
789,2,213,4,231,227,115.44,26666.64
790,3,244,14,291,264,103.86,30223.26
791,2,366,12,37,34,119.17,4409.29
792,3,287,7,147,124,43.38,6376.86
793,1,68,8,59,55,12.99,766.41
794,2,240,12,248,159,125.19,31047.12
795,3,185,10,118,78,107.13,12641.34
796,1,78,5,255,145,145.94,37214.7
797,2,416,9,67,47,29.16,1953.72
798,3,17,10,39,25,103.76,4046.64
799,3,35,9,79,69,29.46,2327.34
800,4,295,8,290,279,13.05,3784.5
801,2,99,12,289,177,117.82,34049.98
802,3,34,2,56,32,106.49,5963.44
803,2,226,6,33,24,68.02,2244.66
804,1,268,3,41,36,19.77,810.57
805,2,285,10,143,90,101.58,14525.94
806,2,118,1,190,162,59.39,11284.1
807,1,386,13,200,147,59.9,11980.0
808,2,277,8,175,168,13.09,2290.75
809,3,387,14,149,82,102.12,15215.88
810,4,30,13,94,87,60.55,5691.7
811,1,166,1,155,129,58.54,9073.7
812,1,161,1,247,231,60.16,14859.52
813,1,16,1,68,62,61.79,4201.72
814,2,15,10,271,174,106.4,28834.4
815,4,357,1,129,123,58.31,7521.99
816,3,346,6,187,176,68.19,12751.53
817,4,119,7,78,48,40.85,3186.3
818,3,314,6,124,112,72.33,8968.92
819,1,309,14,296,197,109.31,32355.76
820,3,331,6,153,146,71.42,10927.26
821,2,304,10,279,267,104.61,29186.19
822,3,230,9,57,44,30.14,1717.98
823,3,26,2,261,166,111.07,28989.27
824,2,193,5,75,54,135.72,10179.0
825,2,63,12,264,147,116.84,30845.76
826,4,415,10,143,94,104.77,14982.11
827,1,23,9,155,96,29.21,4527.55
828,4,316,1,246,240,58.65,14427.9
829,4,164,8,68,59,12.41,843.88
830,1,376,10,68,39,107.81,7331.08
831,2,49,1,194,156,60.09,11657.46
832,3,397,7,87,69,42.67,3712.29
833,1,356,6,121,104,68.38,8273.98
834,3,95,12,276,181,116.1,32043.6
835,2,15,14,155,102,109.58,16984.9
836,1,394,5,78,68,143.07,11159.46
837,2,397,9,181,116,29.91,5413.71
838,1,287,1,215,169,60.33,12970.95
839,1,37,6,126,95,68.01,8569.26
840,1,199,8,250,145,12.41,3102.5
841,4,95,13,31,20,60.54,1876.74
842,1,347,8,79,71,13.04,1030.16
843,4,29,2,233,198,106.28,24763.24
844,3,1,13,230,228,62.76,14434.8
845,2,225,1,119,101,62.35,7419.65
846,3,204,1,121,94,60.07,7268.47
847,1,235,11,153,143,145.97,22333.41
848,1,137,2,216,208,105.67,22824.72
849,3,129,14,235,216,108.95,25603.25
850,4,170,12,268,161,123.11,32993.48
851,3,147,9,173,167,30.59,5292.07
852,4,19,12,28,16,118.4,3315.2
853,4,142,13,155,100,59.42,9210.1
854,2,372,8,241,189,12.81,3087.21
855,2,209,11,249,218,145.4,36204.6
856,3,104,2,177,130,110.96,19639.92
857,4,25,14,217,132,102.38,22216.46
858,4,410,5,200,126,141.49,28298.0
859,1,86,10,38,30,109.03,4143.14
860,4,144,11,103,59,137.64,14176.92
861,3,11,7,244,196,40.95,9991.8
862,2,32,1,84,52,58.53,4916.52
863,1,132,10,91,74,103.98,9462.18
864,2,241,6,263,262,72.32,19020.16
865,2,115,5,116,90,136.83,15872.28
866,4,202,9,278,196,29.77,8276.06
867,2,276,2,275,230,105.86,29111.5
868,1,419,6,234,201,73.3,17152.2
869,3,274,6,163,134,69.36,11305.68
870,1,339,11,205,118,143.68,29454.4
871,2,366,4,224,176,114.67,25686.08
872,2,31,6,234,202,71.51,16733.34
873,1,69,3,50,34,18.7,935.0
874,4,218,2,118,83,105.73,12476.14
875,2,134,4,271,201,110.24,29875.04
876,2,391,11,48,28,137.63,6606.24
877,4,50,6,93,65,68.95,6412.35
878,3,376,10,48,28,104.83,5031.84
879,3,298,11,139,113,140.35,19508.65
880,2,87,11,289,166,143.39,41439.71
881,4,301,4,160,139,108.96,17433.6
882,1,54,13,132,88,62.85,8296.2
883,3,47,12,214,195,118.5,25359.0
884,3,160,14,74,65,103.28,7642.72
885,2,92,4,71,53,113.71,8073.41
886,2,264,13,218,178,61.72,13454.96
887,1,116,12,74,63,121.31,8976.94
888,2,259,11,241,187,139.45,33607.45
889,4,288,2,298,284,107.75,32109.5
890,2,378,3,267,203,18.67,4984.89
891,4,382,10,234,221,108.87,25475.58
892,3,262,4,249,155,115.89,28856.61
893,3,163,9,27,25,29.59,798.93
894,2,348,7,137,136,42.88,5874.56
895,4,409,14,293,215,109.8,32171.4
896,1,125,13,150,102,60.17,9025.5
897,4,417,8,230,138,12.26,2819.8
898,4,293,13,187,128,62.44,11676.28
899,1,165,10,24,14,102.1,2450.4
900,2,352,9,149,105,29.8,4440.2
901,3,270,6,63,53,70.46,4438.98
902,4,350,2,267,207,111.56,29786.52
903,3,237,8,161,113,12.65,2036.65
904,2,240,13,192,168,63.8,12249.6
905,1,85,2,86,83,108.28,9312.08
906,1,70,14,192,156,105.3,20217.6
907,4,364,8,91,61,12.69,1154.79
908,1,308,9,265,151,30.71,8138.15
909,4,368,4,293,224,114.24,33472.32
910,4,53,9,56,46,28.98,1622.88
911,1,367,10,225,190,102.76,23121.0
912,2,145,12,146,145,122.55,17892.3
913,3,412,6,170,152,72.32,12294.4
914,4,342,2,221,210,110.59,24440.39
915,4,200,4,116,95,109.22,12669.52
916,3,115,7,175,136,42.14,7374.5
917,2,292,11,188,178,139.41,26209.08
918,4,178,7,60,35,42.53,2551.8
919,1,71,2,120,83,111.7,13404.0
920,4,379,7,38,23,42.72,1623.36
921,2,182,11,97,73,142.81,13852.57
922,1,84,5,218,140,144.69,31542.42
923,3,232,8,246,231,12.81,3151.26
924,4,336,6,219,122,68.58,15019.02
925,4,96,3,231,177,19.93,4603.83
926,2,71,12,278,267,120.87,33601.86
927,1,255,9,124,108,29.06,3603.44
928,2,348,10,244,157,105.49,25739.56
929,4,327,5,164,96,141.77,23250.28
930,1,302,11,192,116,144.43,27730.56
931,4,375,4,143,101,115.09,16457.87
932,3,299,4,294,222,115.54,33968.76
933,1,389,14,137,123,108.63,14882.31
934,3,20,3,267,258,18.67,4984.89
935,1,51,14,271,161,106.44,28845.24
936,1,124,11,56,46,136.49,7643.44
937,2,22,3,70,47,19.22,1345.4
938,3,298,8,81,53,12.59,1019.79
939,1,280,2,36,31,106.35,3828.6
940,4,353,11,173,97,142.96,24732.08
941,4,346,4,26,16,108.64,2824.64
942,3,405,8,214,169,13.03,2788.42
943,1,149,6,103,58,68.93,7099.79
944,1,353,11,237,166,140.62,33326.94
945,2,270,2,95,69,109.7,10421.5
946,4,137,8,149,110,12.86,1916.14
947,3,144,5,47,36,143.91,6763.77
948,2,200,14,70,65,109.24,7646.8
949,3,334,8,298,177,12.84,3826.32
950,3,405,11,226,139,137.98,31183.48
951,2,212,4,84,51,110.71,9299.64
952,4,414,11,170,94,143.68,24425.6
953,2,193,8,175,140,13.22,2313.5
954,3,413,2,203,182,109.76,22281.28
955,3,243,2,199,114,112.78,22443.22
956,1,129,11,292,174,145.03,42348.76
957,2,184,5,280,238,143.81,40266.8
958,2,42,10,191,136,103.78,19821.98
959,4,418,9,103,80,29.04,2991.12
960,4,331,1,285,184,60.45,17228.25
961,4,380,7,89,79,40.77,3628.53
962,3,112,11,142,108,143.88,20430.96
963,4,148,10,200,127,108.78,21756.0
964,4,225,3,141,109,19.78,2788.98
965,4,317,5,210,149,145.49,30552.9
966,3,133,9,110,82,29.12,3203.2
967,2,236,13,154,136,60.75,9355.5
968,2,136,2,181,108,107.05,19376.05
969,2,360,2,291,282,112.51,32740.41
970,4,227,8,148,82,12.59,1863.32
971,4,251,12,61,36,124.51,7595.11
972,3,343,5,95,68,142.25,13513.75
973,2,268,3,206,176,19.69,4056.14
974,1,41,4,229,143,111.06,25432.74
975,1,344,1,204,136,60.49,12339.96
976,2,201,14,198,163,107.68,21320.64
977,4,24,7,295,226,42.21,12451.95
978,2,207,14,112,80,105.8,11849.6
979,1,129,1,242,212,60.43,14624.06
980,1,5,4,75,68,115.63,8672.25
981,3,187,4,116,86,116.02,13458.32
982,3,183,8,269,243,12.77,3435.13
983,2,149,14,89,56,102.8,9149.2
984,4,82,3,96,67,18.61,1786.56
985,1,394,1,34,30,61.53,2092.02
986,2,333,9,133,97,30.7,4083.1
987,3,135,13,294,258,61.84,18180.96
988,3,217,1,60,47,61.22,3673.2
989,1,28,7,184,115,41.8,7691.2
990,2,165,9,88,50,28.96,2548.48
991,3,253,9,157,126,29.55,4639.35
992,2,168,3,241,187,19.92,4800.72
993,4,26,4,221,157,115.85,25602.85
994,4,149,14,33,30,104.46,3447.18
995,3,247,2,146,117,108.31,15813.26
996,3,7,7,290,171,41.36,11994.4
997,2,207,8,30,25,12.44,373.2
998,4,340,1,172,142,61.95,10655.4
999,4,356,6,184,158,68.06,12523.04
1000,4,330,11,190,139,136.8,25992.0
1001,4,208,10,123,86,101.46,12479.58
1002,1,274,3,262,184,18.85,4938.7
1003,3,281,2,174,116,112.55,19583.7
1004,3,96,13,44,39,59.58,2621.52
1005,1,258,4,287,198,112.78,32367.86
1006,2,67,7,244,230,43.65,10650.6
1007,4,110,13,96,59,62.22,5973.12
1008,3,220,2,247,157,111.35,27503.45
1009,1,190,10,230,131,108.1,24863.0
1010,1,122,6,54,35,71.27,3848.58
1011,3,387,12,136,131,119.0,16184.0
1012,2,406,10,279,223,105.0,29295.0
1013,3,41,11,135,110,139.46,18827.1
1014,2,205,2,277,236,108.66,30098.82
1015,3,10,10,157,103,105.07,16495.99
1016,2,252,14,224,139,108.66,24339.84
1017,2,344,11,127,118,138.31,17565.37
1018,2,102,8,262,203,13.19,3455.78
1019,1,258,6,206,180,69.85,14389.1
1020,1,203,9,254,149,29.76,7559.04
1021,1,303,7,111,66,42.32,4697.52
1022,3,293,1,150,127,58.39,8758.5
1023,4,235,1,80,61,59.83,4786.4
1024,3,327,2,184,122,107.4,19761.6
1025,4,392,12,159,127,116.36,18501.24
1026,1,386,11,244,157,137.95,33659.8
1027,3,346,9,195,160,30.59,5965.05
1028,3,58,7,188,157,43.16,8114.08
1029,2,410,11,282,162,135.96,38340.72
1030,2,5,6,121,73,70.8,8566.8
1031,2,310,10,213,122,101.49,21617.37
1032,4,361,6,107,99,73.05,7816.35
1033,2,297,14,134,121,104.48,14000.32
1034,1,321,9,154,146,29.93,4609.22
1035,4,359,11,88,86,145.82,12832.16
1036,4,296,12,282,173,124.75,35179.5
1037,1,245,5,120,70,141.81,17017.2
1038,3,392,13,210,203,61.81,12980.1
1039,3,123,6,24,17,68.21,1637.04
1040,1,330,6,160,153,71.69,11470.4
1041,3,52,8,164,122,12.59,2064.76
1042,3,311,4,60,47,110.25,6615.0
1043,2,173,3,26,18,19.33,502.58
1044,3,101,11,257,143,141.1,36262.7
1045,2,235,3,298,287,18.95,5647.1
1046,2,146,12,210,166,122.25,25672.5
1047,1,210,3,269,195,18.89,5081.41
1048,2,289,13,234,154,59.8,13993.2
1049,1,131,10,163,141,102.3,16674.9
1050,4,230,8,163,101,12.78,2083.14
1051,3,104,14,130,76,107.04,13915.2
1052,4,10,11,262,204,139.65,36588.3
1053,3,92,1,61,41,62.63,3820.43
1054,2,279,3,116,93,18.55,2151.8
1055,1,346,7,130,107,43.38,5639.4
1056,2,156,10,154,85,109.23,16821.42
1057,4,222,12,288,243,119.52,34421.76
1058,4,311,1,145,140,58.56,8491.2
1059,3,404,12,288,226,116.69,33606.72
1060,4,351,6,84,65,72.25,6069.0
1061,3,374,12,236,202,123.87,29233.32
1062,2,122,4,218,215,111.19,24239.42
1063,3,212,14,90,68,108.76,9788.4
1064,3,146,8,63,56,12.83,808.29
1065,3,295,2,205,137,108.24,22189.2
1066,1,378,6,48,39,71.63,3438.24
1067,1,126,6,268,162,69.61,18655.48
1068,3,401,7,236,169,42.49,10027.64
1069,2,391,11,111,76,136.06,15102.66
1070,4,57,4,90,70,108.41,9756.9
1071,4,336,4,289,240,115.91,33497.99
1072,4,246,1,45,33,59.4,2673.0
1073,3,224,8,146,84,12.42,1813.32
1074,2,186,14,123,106,102.51,12608.73
1075,1,252,8,105,65,12.85,1349.25
1076,3,70,10,34,20,103.56,3521.04
1077,4,254,9,34,33,29.37,998.58
1078,4,153,2,111,66,106.31,11800.41
1079,4,249,7,273,203,41.7,11384.1
1080,4,368,13,49,29,62.48,3061.52
1081,3,153,2,287,249,111.64,32040.68
1082,2,121,11,151,115,139.25,21026.75
1083,3,46,14,182,140,103.91,18911.62
1084,3,337,9,166,133,29.41,4882.06
1085,3,171,4,63,37,114.92,7239.96
1086,4,43,7,134,84,42.58,5705.72
1087,4,170,5,224,212,145.29,32544.96
1088,1,336,11,245,175,136.6,33467.0
1089,4,282,10,49,46,105.0,5145.0
1090,4,341,5,237,222,135.9,32208.3
1091,4,55,1,192,169,59.84,11489.28
1092,2,253,10,39,33,102.16,3984.24
1093,4,147,3,238,194,19.85,4724.3
1094,2,194,1,132,125,61.9,8170.8
1095,1,248,5,63,55,139.18,8768.34
1096,1,364,12,32,28,118.25,3784.0
1097,2,32,12,179,99,119.49,21388.71
1098,2,130,7,181,176,43.72,7913.32
1099,2,371,8,285,159,12.99,3702.15
1100,4,372,10,264,208,108.52,28649.28
1101,2,174,4,174,170,108.06,18802.44
1102,4,221,13,109,96,63.65,6937.85
1103,2,129,8,66,57,12.73,840.18
1104,2,46,11,145,144,141.51,20518.95
1105,2,162,7,205,165,43.82,8983.1
1106,2,273,1,87,79,62.75,5459.25
1107,4,139,9,150,86,28.95,4342.5
1108,2,233,3,122,68,18.98,2315.56
1109,3,326,6,299,254,69.52,20786.48
1110,2,286,4,91,83,112.78,10262.98
1111,1,161,7,223,172,42.06,9379.38
1112,4,63,2,104,99,108.68,11302.72
1113,3,13,10,290,260,108.53,31473.7
1114,3,404,3,281,170,19.73,5544.13
1115,4,156,12,298,183,119.16,35509.68
1116,4,74,1,230,174,61.82,14218.6
1117,4,90,13,145,111,59.33,8602.85
1118,3,381,6,77,57,72.83,5607.91
1119,2,257,8,103,74,13.03,1342.09
1120,1,65,2,205,132,109.36,22418.8
1121,1,17,13,286,231,59.58,17039.88
1122,3,227,6,236,139,72.74,17166.64
1123,3,300,4,253,183,113.86,28806.58
1124,3,199,9,151,127,28.76,4342.76
1125,2,208,10,242,200,101.81,24638.02
1126,1,208,2,174,119,105.9,18426.6
1127,2,394,13,259,169,63.43,16428.37
1128,3,127,11,251,155,143.78,36088.78
1129,3,230,13,265,185,62.29,16506.85
1130,1,148,2,237,197,105.97,25114.89
1131,3,277,9,70,57,29.88,2091.6
1132,1,405,5,257,216,143.52,36884.64
1133,3,189,12,71,49,123.03,8735.13
1134,3,366,8,59,37,12.59,742.81
1135,4,167,10,199,177,108.51,21593.49
1136,2,143,4,93,92,112.74,10484.82
1137,4,260,6,243,188,69.34,16849.62
1138,2,409,1,196,136,58.3,11426.8
1139,1,80,8,35,26,12.88,450.8
1140,3,35,9,178,141,30.11,5359.58
1141,1,134,2,160,124,110.57,17691.2
1142,3,257,4,256,175,114.47,29304.32
1143,3,128,4,120,101,111.02,13322.4
1144,4,166,1,197,173,62.09,12231.73
1145,2,322,5,180,167,137.56,24760.8
1146,2,34,7,222,218,42.64,9466.08
1147,2,244,14,225,174,108.98,24520.5
1148,2,113,5,149,147,139.01,20712.49
1149,2,120,1,72,43,61.23,4408.56
1150,4,381,14,143,132,108.55,15522.65
1151,2,23,5,289,274,139.37,40277.93
1152,1,59,7,289,183,43.42,12548.38
1153,1,273,11,227,198,142.88,32433.76
1154,3,250,7,226,189,41.38,9351.88
1155,2,101,6,158,120,70.9,11202.2
1156,4,150,12,260,159,123.27,32050.2
1157,4,201,1,99,74,60.12,5951.88
1158,3,219,5,147,140,136.68,20091.96
1159,4,100,11,113,92,141.58,15998.54
1160,3,43,14,247,231,109.9,27145.3
1161,3,32,3,144,87,19.74,2842.56
1162,2,337,10,26,20,103.59,2693.34
1163,3,363,6,248,198,71.23,17665.04
1164,4,400,2,38,33,106.21,4035.98
1165,2,109,5,53,35,138.26,7327.78
1166,1,249,12,27,26,116.79,3153.33
1167,2,284,10,253,205,106.77,27012.81
1168,4,4,2,243,225,108.12,26273.16
1169,2,397,7,25,24,41.27,1031.75
1170,3,18,14,170,126,103.22,17547.4
1171,1,388,11,215,178,143.67,30889.05
1172,4,20,7,75,71,41.33,3099.75
1173,2,248,10,252,216,104.55,26346.6
1174,3,62,7,24,19,43.13,1035.12
1175,2,403,9,197,135,29.53,5817.41
1176,1,324,10,65,48,104.0,6760.0
1177,1,275,10,271,205,109.1,29566.1
1178,1,33,1,24,17,62.07,1489.68
1179,1,290,9,142,139,29.75,4224.5
1180,1,8,1,31,17,59.46,1843.26
1181,1,284,6,139,127,72.42,10066.38
1182,2,288,11,57,38,146.59,8355.63
1183,1,245,3,163,131,18.89,3079.07
1184,1,407,13,126,81,60.43,7614.18
1185,1,259,10,248,167,102.58,25439.84
1186,3,385,2,268,222,109.92,29458.56
1187,3,141,9,65,49,30.24,1965.6
1188,3,149,8,98,86,12.94,1268.12
1189,3,86,2,76,47,107.27,8152.52
1190,3,320,6,267,211,69.09,18447.03
1191,4,277,1,98,67,62.67,6141.66
1192,3,256,3,256,183,19.21,4917.76
1193,3,98,12,40,38,117.83,4713.2
1194,4,108,8,133,131,12.46,1657.18
1195,2,15,14,119,98,109.05,12976.95
1196,2,363,1,105,81,61.69,6477.45
1197,1,411,6,31,29,70.25,2177.75
1198,4,56,14,139,118,108.57,15091.23
1199,4,34,13,72,49,62.78,4520.16
1200,2,198,10,39,29,104.37,4070.43
1201,3,6,12,164,97,122.11,20026.04
1202,4,209,12,137,136,116.47,15956.39
1203,1,340,9,129,82,30.13,3886.77
1204,1,337,3,220,215,19.21,4226.2
1205,1,97,3,49,29,18.57,909.93
1206,2,207,3,53,29,19.57,1037.21
1207,3,315,10,151,100,103.55,15636.05
1208,1,133,9,148,97,30.13,4459.24
1209,4,6,7,41,38,41.2,1689.2
1210,3,181,2,247,175,113.71,28086.37
1211,1,127,4,71,68,111.39,7908.69
1212,2,410,3,180,156,18.61,3349.8
1213,2,168,13,189,181,60.65,11462.85
1214,3,295,10,198,123,104.16,20623.68
1215,2,251,10,261,228,103.16,26924.76
1216,2,398,1,22,21,58.63,1289.86
1217,3,134,6,129,118,70.62,9109.98
1218,3,31,3,135,78,19.84,2678.4
1219,3,382,4,145,134,115.37,16728.65
1220,3,263,2,251,139,108.01,27110.51
1221,4,269,11,20,11,146.43,2928.6
1222,4,117,4,127,100,112.03,14227.81
1223,1,97,14,200,172,105.42,21084.0
1224,1,390,4,202,129,112.87,22799.74
1225,4,231,4,183,105,114.13,20885.79
1226,4,324,11,38,35,136.17,5174.46
1227,3,36,10,222,202,106.12,23558.64
1228,4,387,12,191,127,123.88,23661.08
1229,1,203,11,272,264,143.07,38915.04
1230,1,390,2,169,142,108.5,18336.5
1231,4,328,9,137,130,30.06,4118.22
1232,1,261,4,159,113,113.65,18070.35
1233,3,285,7,133,104,42.39,5637.87
1234,4,123,4,242,219,114.58,27728.36
1235,2,284,12,78,76,121.3,9461.4
1236,4,148,5,241,183,143.25,34523.25
1237,4,261,5,67,39,137.9,9239.3
1238,4,153,10,82,73,107.08,8780.56
1239,2,102,12,111,83,116.36,12915.96
1240,4,400,5,131,105,135.7,17776.7
1241,2,329,9,261,248,30.25,7895.25
1242,4,198,4,161,122,110.7,17822.7
1243,2,119,8,63,61,12.7,800.1
1244,4,159,5,40,32,138.26,5530.4
1245,1,196,5,229,147,136.9,31350.1
1246,2,229,14,139,97,106.5,14803.5
1247,2,67,3,133,92,18.63,2477.79
1248,3,138,4,238,188,114.95,27358.1
1249,1,370,14,231,142,102.25,23619.75
1250,4,121,6,187,110,68.14,12742.18
1251,1,420,12,193,123,118.85,22938.05
1252,1,160,4,201,180,111.19,22349.19
1253,1,98,14,87,86,103.47,9001.89
1254,2,231,4,125,75,114.24,14280.0
1255,4,181,8,94,61,12.4,1165.6
1256,4,8,9,125,123,28.77,3596.25
1257,2,363,13,21,12,63.34,1330.14
